name,capital,region,income_level,population,population_millions
India,New Delhi,South Asia,Lower middle income,1463865525,1463.87
China,Beijing,East Asia & Pacific,Upper middle income,1406585000,1406.59
United States,Washington D.C.,North America,High income,341784857,341.78
Indonesia,Jakarta,East Asia & Pacific,Upper middle income,285721236,285.72
Pakistan,Islamabad,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,255219554,255.22
Nigeria,Abuja,Sub-Saharan Africa,Lower middle income,237527782,237.53
Brazil,Brasilia,Latin America & Caribbean,Upper middle income,212812405,212.81
Bangladesh,Dhaka,South Asia,Lower middle income,175686899,175.69
Russian Federation,Moscow,Europe & Central Asia,High income,143513328,143.51
Ethiopia,Addis Ababa,Sub-Saharan Africa,Low income,135472051,135.47
Mexico,Mexico City,Latin America & Caribbean,Upper middle income,131946900,131.95
Japan,Tokyo,East Asia & Pacific,High income,123366734,123.37
"Egypt, Arab Rep.",Cairo,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,118365995,118.37
Philippines,Manila,East Asia & Pacific,Upper middle income,116786962,116.79
"Congo, Dem. Rep.",Kinshasa,Sub-Saharan Africa,Low income,112832473,112.83
Viet Nam,Hanoi,East Asia & Pacific,Upper middle income,101598527,101.6
"Iran, Islamic Rep.",Tehran,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,92417681,92.42
Turkiye,Ankara,Europe & Central Asia,Upper middle income,85878556,85.88
Germany,Berlin,Europe & Central Asia,High income,83491249,83.49
Thailand,Bangkok,East Asia & Pacific,Upper middle income,71619863,71.62
Tanzania,Dodoma,Sub-Saharan Africa,Lower middle income,70545865,70.55
United Kingdom,London,Europe & Central Asia,High income,69487000,69.49
France,Paris,Europe & Central Asia,High income,68720337,68.72
South Africa,Pretoria,Sub-Saharan Africa,Upper middle income,64747319,64.75
Italy,Rome,Europe & Central Asia,High income,58915656,58.92
Kenya,Nairobi,Sub-Saharan Africa,Lower middle income,57532493,57.53
Myanmar,Naypyidaw,East Asia & Pacific,Lower middle income,54850648,54.85
Colombia,Bogota,Latin America & Caribbean,Upper middle income,53425635,53.43
"Korea, Rep.",Seoul,East Asia & Pacific,High income,51684564,51.68
Sudan,Khartoum,Sub-Saharan Africa,Low income,51662147,51.66
Uganda,Kampala,Sub-Saharan Africa,Low income,51384894,51.38
Spain,Madrid,Europe & Central Asia,High income,49355143,49.36
Algeria,Algiers,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,47435312,47.44
Iraq,Baghdad,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,47020774,47.02
Argentina,Buenos Aires,Latin America & Caribbean,Upper middle income,45851378,45.85
Afghanistan,Kabul,"Middle East, North Africa, Afghanistan & Pakistan",Low income,43844111,43.84
"Yemen, Rep.",Sana'a,"Middle East, North Africa, Afghanistan & Pakistan",Low income,41773878,41.77
Canada,Ottawa,North America,High income,41651653,41.65
Angola,Luanda,Sub-Saharan Africa,Lower middle income,39040039,39.04
Ukraine,Kiev,Europe & Central Asia,Upper middle income,38980376,38.98
Morocco,Rabat,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,38430770,38.43
Uzbekistan,Tashkent,Europe & Central Asia,Lower middle income,37053428,37.05
Saudi Arabia,Riyadh,"Middle East, North Africa, Afghanistan & Pakistan",High income,36973555,36.97
Poland,Warsaw,Europe & Central Asia,High income,36435861,36.44
Malaysia,Kuala Lumpur,East Asia & Pacific,Upper middle income,35977838,35.98
Mozambique,Maputo,Sub-Saharan Africa,Low income,35631653,35.63
Ghana,Accra,Sub-Saharan Africa,Lower middle income,35064272,35.06
Peru,Lima,Latin America & Caribbean,Upper middle income,34576665,34.58
Madagascar,Antananarivo,Sub-Saharan Africa,Low income,32740678,32.74
Cote d'Ivoire,Yamoussoukro,Sub-Saharan Africa,Lower middle income,32711547,32.71
Cameroon,Yaounde,Sub-Saharan Africa,Lower middle income,29879337,29.88
Nepal,Kathmandu,South Asia,Lower middle income,29618118,29.62
"Venezuela, RB",Caracas,Latin America & Caribbean,Lower middle income,28516896,28.52
Niger,Niamey,Sub-Saharan Africa,Low income,27917831,27.92
Australia,Canberra,East Asia & Pacific,High income,27614411,27.61
"Korea, Dem. People's Rep.",Pyongyang,East Asia & Pacific,Low income,26571036,26.57
Syrian Arab Republic,Damascus,"Middle East, North Africa, Afghanistan & Pakistan",Low income,25620427,25.62
Mali,Bamako,Sub-Saharan Africa,Low income,25198821,25.2
Burkina Faso,Ouagadougou,Sub-Saharan Africa,Low income,24074580,24.07
Malawi,Lilongwe,Sub-Saharan Africa,Low income,22216120,22.22
Zambia,Lusaka,Sub-Saharan Africa,Lower middle income,21913874,21.91
Sri Lanka,Colombo,South Asia,Upper middle income,21756000,21.76
Chad,N'Djamena,Sub-Saharan Africa,Low income,21003705,21.0
Kazakhstan,Astana,Europe & Central Asia,Upper middle income,20843754,20.84
Chile,Santiago,Latin America & Caribbean,High income,19859921,19.86
"Somalia, Fed. Rep.",Mogadishu,Sub-Saharan Africa,Low income,19654739,19.65
Romania,Bucharest,Europe & Central Asia,High income,19020271,19.02
Senegal,Dakar,Sub-Saharan Africa,Lower middle income,18931966,18.93
Guatemala,Guatemala City,Latin America & Caribbean,Upper middle income,18687881,18.69
Ecuador,Quito,Latin America & Caribbean,Upper middle income,18289896,18.29
Netherlands,Amsterdam,Europe & Central Asia,High income,18087633,18.09
Cambodia,Phnom Penh,East Asia & Pacific,Lower middle income,17847982,17.85
Zimbabwe,Harare,Sub-Saharan Africa,Lower middle income,16950795,16.95
Guinea,Conakry,Sub-Saharan Africa,Lower middle income,15099727,15.1
Benin,Porto-Novo,Sub-Saharan Africa,Lower middle income,14814460,14.81
Rwanda,Kigali,Sub-Saharan Africa,Low income,14569341,14.57
Burundi,Bujumbura,Sub-Saharan Africa,Low income,14390003,14.39
Bolivia,La Paz,Latin America & Caribbean,Lower middle income,12581843,12.58
